scenario,seed,head,qwk,acc_pct,mae,rmse,macro_p,macro_r,macro_f1,wtd_p,wtd_r,wtd_f1,params_total,params_m,model_size_mb,infer_ms_per_img,throughput_img_s,peak_mem_mb,p_no_dr,r_no_dr,f1_no_dr,p_mild,r_mild,f1_mild,p_moderate,r_moderate,f1_moderate,p_severe,r_severe,f1_severe,p_proliferative_dr,r_proliferative_dr,f1_proliferative_dr
baseline_ce,33,ce,0.8484,79.8365,0.2834,0.6886,0.6336,0.6088,0.6135,0.7989,0.7984,0.7951,1522981,1.523,5.9558,29.5949,33.7896,nan,0.9888,0.9779,0.9833,0.5641,0.5946,0.5789,0.6937,0.77,0.7299,0.3333,0.3684,0.35,0.5882,0.3333,0.4255
baseline_ce,81,ce,0.8307,78.7466,0.3106,0.7419,0.6291,0.6046,0.6145,0.7838,0.7875,0.7843,1522981,1.523,5.9594,7.1176,140.4972,nan,0.9725,0.9779,0.9752,0.5758,0.5135,0.5429,0.6636,0.73,0.6952,0.3684,0.3684,0.3684,0.5652,0.4333,0.4906
baseline_ce,5,ce,0.8304,78.7466,0.3025,0.7327,0.6101,0.6068,0.6019,0.791,0.7875,0.7862,1522981,1.523,5.9451,7.4202,134.7667,nan,0.9833,0.9779,0.9806,0.4906,0.7027,0.5778,0.7188,0.69,0.7041,0.3125,0.2632,0.2857,0.5455,0.4,0.4615
baseline_coral,33,coral,0.864,78.2016,0.2752,0.6414,0.6755,0.6038,0.6019,0.8059,0.782,0.7786,1518884,1.5189,5.9454,8.3263,120.1008,nan,0.9832,0.9724,0.9778,0.5,0.5135,0.5067,0.6607,0.74,0.6981,0.3448,0.5263,0.4167,0.8889,0.2667,0.4103
baseline_coral,81,coral,0.8618,75.7493,0.297,0.6541,0.6118,0.5864,0.5605,0.7855,0.7575,0.7574,1518884,1.5189,5.943,6.9224,144.4589,nan,0.983,0.9558,0.9692,0.5128,0.5405,0.5263,0.6765,0.69,0.6832,0.2619,0.5789,0.3607,0.625,0.1667,0.2632
baseline_coral,5,coral,0.8566,78.7466,0.2779,0.6603,0.6926,0.6525,0.6232,0.8186,0.7875,0.784,1518884,1.5189,5.9396,7.118,140.4881,nan,0.9724,0.9724,0.9724,0.5417,0.7027,0.6118,0.7128,0.67,0.6907,0.3611,0.6842,0.4727,0.875,0.2333,0.3684
baseline_corn,33,corn,0.8613,81.7439,0.2616,0.6725,0.6688,0.6543,0.6601,0.8149,0.8174,0.8155,1521956,1.522,5.9542,7.4691,133.8858,nan,0.9834,0.9834,0.9834,0.5676,0.5676,0.5676,0.7358,0.78,0.7573,0.4737,0.4737,0.4737,0.5833,0.4667,0.5185
baseline_corn,81,corn,0.8687,79.564,0.2698,0.6457,0.6235,0.6043,0.6101,0.7938,0.7956,0.7928,1521956,1.522,5.9454,7.044,141.9645,nan,0.9831,0.9669,0.9749,0.575,0.6216,0.5974,0.6937,0.77,0.7299,0.2941,0.2632,0.2778,0.5714,0.4,0.4706
baseline_corn,5,corn,0.8579,81.1989,0.2589,0.6623,0.6652,0.6324,0.6385,0.8125,0.812,0.8079,1521956,1.522,5.9464,6.9423,144.0453,nan,0.978,0.9834,0.9807,0.5652,0.7027,0.6265,0.7238,0.76,0.7415,0.3529,0.3158,0.3333,0.7059,0.4,0.5106
baseline_niu,33,niu,0.8766,80.654,0.248,0.6198,0.6947,0.6619,0.6488,0.8285,0.8065,0.8063,1521956,1.522,5.9539,6.8926,145.0839,nan,0.9886,0.9613,0.9748,0.5263,0.5405,0.5333,0.7315,0.79,0.7596,0.3939,0.6842,0.5,0.8333,0.3333,0.4762
baseline_niu,81,niu,0.854,78.4741,0.2861,0.6746,0.6408,0.6015,0.6083,0.7912,0.7847,0.7823,1521956,1.522,5.9531,6.7975,147.1139,nan,0.9832,0.9724,0.9778,0.5714,0.5405,0.5556,0.6491,0.74,0.6916,0.3333,0.4211,0.3721,0.6667,0.3333,0.4444
baseline_niu,5,niu,0.8615,79.8365,0.267,0.652,0.6587,0.5923,0.6038,0.8092,0.7984,0.7942,1521956,1.522,5.9549,6.9379,144.1355,nan,0.9833,0.9779,0.9806,0.6364,0.5676,0.6,0.6838,0.8,0.7373,0.24,0.3158,0.2727,0.75,0.3,0.4286
